업체명,별점,블로그리뷰,방문뷰,업종,전화번호,도로명,지번
진식주,4.94,6,17,"술집,요리주점",010-4161-1817,서울특별시 송파구 삼전로13길 52 1층 진식주,서울특별시 송파구 잠실동 212-15
스웨덴피크닉,4.92,8,133,"술집,와인",070-8286-4119,서울특별시 송파구 백제고분로43길 10 지하 1층,서울특별시 송파구 송파동 45-18 지하 1층
치즈룸 X 테이스팅룸 월드타워,4.49,885,2119,"음식점,이탈리아음식",02-3213-4550,서울특별시 송파구 올림픽로 300 롯데월드몰 5F,서울특별시 송파구 신천동 29
호이안로스터리 송리단길점,4.67,27,116,"음식점,카페,디저트",02-422-8929,서울특별시 송파구 백제고분로45길 3-18,서울특별시 송파구 송파동 46-13
오린지,4.37,419,174,"음식점,카페,디저트",010-9292-4802,서울특별시 송파구 송파대로48길 19 1층,서울특별시 송파구 송파동 30-7
갓잇 송리단길점,4.45,923,461,"음식점,멕시코,남미음식",02-487-9451,서울특별시 송파구 백제고분로45길 4-14,서울특별시 송파구 송파동 48-6
청와옥 본점,4.39,966,679,"한식,순대,순댓국",02-416-3456,서울특별시 송파구 위례성대로 48 반도빌딩 1층,서울특별시 송파구 방이동 177-3 반도빌딩 1층
서울리즘,4.35,660,312,"음식점,카페,디저트",02-412-0812,서울특별시 송파구 백제고분로 435 예스빌딩 6층,서울특별시 송파구 송파동 48-7
카페 노티드 잠실,4.27,138,256,"음식점,카페,디저트",070-8836-9377,서울특별시 송파구 백제고분로45길 3 2층,서울특별시 송파구 송파동 46-4
포숑 롯데월드몰점,4.36,323,274,"음식점,브런치",02-3213-4188,서울특별시 송파구 올림픽로 300 롯데월드몰 1F,서울특별시 송파구 신천동 29
밀파니,4.25,25,177,"카페,디저트,베이커리",02-406-0000,"서울특별시 송파구 위례서로 273 밀파니 빌딩 1,2층","서울특별시 송파구 거여동  594-4 밀파니빌딩 1,2층"
홈수끼,4.34,681,948,"일식,샤브샤브",02-417-4124,서울특별시 송파구 위례성대로 134 한스빌딩,서울특별시 송파구 방이동 183-6 한스빌딩
멘야하나비,4.54,1434,138,"일식,우동,소바",070-8959-1108,서울특별시 송파구 백제고분로45길 38,서울특별시 송파구 송파동 57
다운타우너 잠실,4.55,1606,1333,"음식점,햄버거",070-8868-3696,서울특별시 송파구 백제고분로45길 3 1층 다운타우너,서울특별시 송파구 송파동 46-4
소우리,4.72,40,158,"한식,소고기구이",02-3012-3342,서울특별시 송파구 오금로46길 20 102호,서울특별시 송파구 가락동 174-26
마초야 송파점,4.62,87,147,"일식,우동,소바",02-412-1403,서울특별시 송파구 백제고분로40길 24 1층,서울특별시 송파구 석촌동 280-8
냠냠물고기,4.41,182,112,"일식,일식당",010-3526-4478,서울특별시 송파구 송파대로30길 41-21,서울특별시 송파구 가락동 74-5
꼬앙드파리,4.68,376,99,"음식점,카페,디저트",010-3573-7086,서울특별시 송파구 마천로7길 18 1층,서울특별시 송파구 오금동 16-6
바이킹스워프 롯데월드몰점,4.36,1848,787,"해물,생선요리,바닷가재요리",1644-3210,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동 29 롯데월드몰 캐쥬얼동 4층
단디,4.4,1249,589,"일식,덮밥",02-412-5335,서울특별시 송파구 백제고분로45길 7,서울특별시 송파구 송파동 45-5
라라브레드 송파점,4.43,2029,1223,"음식점,카페,디저트",1800-1990,서울특별시 송파구 오금로16길 4,서울특별시 송파구 송파동 58-8
직화방2,4.74,322,330,"음식점,한식",02-6956-9282,"서울특별시 송파구 올림픽로32길 18-11 101, 102호","서울특별시 송파구 방이동 63-1 101, 102호"
미자식당,4.18,1250,175,"한식,백반,가정식",02-425-0809,서울특별시 송파구 오금로18길 14,서울특별시 송파구 송파동 51-9
